ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
ERROR    root:init_helpers.py:80 Failed to capture screenshot: stat: path should be string, bytes, os.PathLike or integer, not NoneType
