INFO     root:conftest.py:48 EDGE browser version is : 131.0.2903.51
DEBUG    pytest_bdd.scenario:scenario.py:146 Adding providers for fixture 'pytestbdd_stepimpl_given_I am logged into the RAVS app': [<FixtureDef argname='pytestbdd_stepdef_given_I am logged into the RAVS app' scope='function' baseid='tests/test_age_based_warnings_steps.py'>]
DEBUG    pytest_bdd.scenario:scenario.py:146 Adding providers for fixture 'pytestbdd_stepimpl_when_I search for the patient with NHS number 9473673388': [<FixtureDef argname='pytestbdd_stepdef_when_I search for the patient with NHS number {nhs_number}' scope='function' baseid='tests/test_age_based_warnings_steps.py'>]
DEBUG    pytest_bdd.scenario:scenario.py:146 Adding providers for fixture 'pytestbdd_stepimpl_when_I proceed to record a vaccine for covid for all products': [<FixtureDef argname='pytestbdd_stepdef_when_I proceed to record a vaccine for {vaccine_type} for all products' scope='function' baseid='tests/test_age_based_warnings_steps.py'>]
DEBUG    root:init_helpers.py:102 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:108 Saving screenshot to: /app/data/attachments/dev_edge_131.0.2903.51_clicked_patient_name.png
DEBUG    root:playwrightHelper.py:108 Scrolling to mouse position: {'x': 0, 'y': 0}
DEBUG    root:init_helpers.py:114 Screenshot attached at: /app/data/attachments/dev_edge_131.0.2903.51_clicked_patient_name.png
DEBUG    pytest_bdd.scenario:scenario.py:146 Adding providers for fixture 'pytestbdd_stepimpl_then_the system should display the warnings 2': [<FixtureDef argname='pytestbdd_stepdef_then_the system should display the warnings {expected_warning_count}' scope='function' baseid='tests/test_age_based_warnings_steps.py'>]
DEBUG    root:init_helpers.py:102 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:108 Saving screenshot to: /app/data/attachments/dev_edge_131.0.2903.51_clicked_choose_vaccine_button.png
DEBUG    root:playwrightHelper.py:108 Scrolling to mouse position: {'x': 0, 'y': 14}
DEBUG    root:init_helpers.py:114 Screenshot attached at: /app/data/attachments/dev_edge_131.0.2903.51_clicked_choose_vaccine_button.png
DEBUG    root:init_helpers.py:102 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:108 Saving screenshot to: /app/data/attachments/dev_edge_131.0.2903.51_clicked_eligible_yes_radiobutton.png
DEBUG    root:playwrightHelper.py:108 Scrolling to mouse position: {'x': 0, 'y': 0}
DEBUG    root:init_helpers.py:114 Screenshot attached at: /app/data/attachments/dev_edge_131.0.2903.51_clicked_eligible_yes_radiobutton.png
DEBUG    root:init_helpers.py:102 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:108 Saving screenshot to: /app/data/attachments/dev_edge_131.0.2903.51_selected_eligibility_type.png
DEBUG    root:playwrightHelper.py:108 Scrolling to mouse position: {'x': 0, 'y': 0}
DEBUG    root:init_helpers.py:114 Screenshot attached at: /app/data/attachments/dev_edge_131.0.2903.51_selected_eligibility_type.png
DEBUG    root:init_helpers.py:102 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:108 Saving screenshot to: /app/data/attachments/dev_edge_131.0.2903.51_clicked_eligibility_yes_and_selected_eligibility_type.png
DEBUG    root:playwrightHelper.py:108 Scrolling to mouse position: {'x': 0, 'y': 0}
DEBUG    root:init_helpers.py:114 Screenshot attached at: /app/data/attachments/dev_edge_131.0.2903.51_clicked_eligibility_yes_and_selected_eligibility_type.png
DEBUG    root:init_helpers.py:102 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:108 Saving screenshot to: /app/data/attachments/dev_edge_131.0.2903.51_set_assessment_date.png
DEBUG    root:playwrightHelper.py:108 Scrolling to mouse position: {'x': 0, 'y': 0}
DEBUG    root:init_helpers.py:114 Screenshot attached at: /app/data/attachments/dev_edge_131.0.2903.51_set_assessment_date.png
DEBUG    root:init_helpers.py:102 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:108 Saving screenshot to: /app/data/attachments/dev_edge_131.0.2903.51_clicked_legal_mechanism.png
DEBUG    root:playwrightHelper.py:108 Scrolling to mouse position: {'x': 0, 'y': 530}
DEBUG    root:init_helpers.py:114 Screenshot attached at: /app/data/attachments/dev_edge_131.0.2903.51_clicked_legal_mechanism.png
