INFO     root:conftest.py:47 CHROME browser version is : 130.0.6723.58
DEBUG    pytest_bdd.scenario:scenario.py:145 Adding providers for fixture 'pytestbdd_stepimpl_given_I am logged into the RAVS app': [<FixtureDef argname='pytestbdd_stepdef_given_I am logged into the RAVS app' scope='function' baseid='tests/test_age_based_warnings_steps.py'>]
DEBUG    pytest_bdd.scenario:scenario.py:145 Adding providers for fixture 'pytestbdd_stepimpl_when_I search for the patient with NHS number 9450153485': [<FixtureDef argname='pytestbdd_stepdef_when_I search for the patient with NHS number {nhs_number}' scope='function' baseid='tests/test_age_based_warnings_steps.py'>]
DEBUG    pytest_bdd.scenario:scenario.py:145 Adding providers for fixture 'pytestbdd_stepimpl_when_I proceed to record a vaccine for covid for all products': [<FixtureDef argname='pytestbdd_stepdef_when_I proceed to record a vaccine for {vaccine_type} for all products' scope='function' baseid='tests/test_age_based_warnings_steps.py'>]
DEBUG    root:init_helpers.py:93 Saving screenshot to: /app/data/attachments/dev_chrome_130.0.6723.58_clicked_patient_name.png
DEBUG    root:init_helpers.py:94 Working directory is: /app/
DEBUG    root:init_helpers.py:95 directory is: /app/data/attachments
DEBUG    root:init_helpers.py:106 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:118 Screenshot saved successfully at: /app/data/attachments/dev_chrome_130.0.6723.58_clicked_patient_name.png
DEBUG    pytest_bdd.scenario:scenario.py:145 Adding providers for fixture 'pytestbdd_stepimpl_then_the system should display the warnings 3': [<FixtureDef argname='pytestbdd_stepdef_then_the system should display the warnings {expected_warning_count}' scope='function' baseid='tests/test_age_based_warnings_steps.py'>]
DEBUG    root:init_helpers.py:93 Saving screenshot to: /app/data/attachments/dev_chrome_130.0.6723.58_clicked_choose_vaccine_button.png
DEBUG    root:init_helpers.py:94 Working directory is: /app/
DEBUG    root:init_helpers.py:95 directory is: /app/data/attachments
DEBUG    root:init_helpers.py:106 Directory verified: /app/data/attachments
DEBUG    root:init_helpers.py:118 Screenshot saved successfully at: /app/data/attachments/dev_chrome_130.0.6723.58_clicked_choose_vaccine_button.png
